"가구별일련번호","가구구분코드","노인가구여부","가구주_연령","주택소유유무","소득"
00054,1,0,35,2,3000000
00054,1,0,58,2,1856667
00054,1,0,60,1,816667
00054,2,1,78,1,2171500
00055,1,0,30,2,2200000
00055,1,0,51,2,5314215
00055,1,0,58,2,630000
00055,2,1,75,1,737667
00056,1,0,47,2,4950000
00056,2,0,60,1,0
00056,2,0,61,1,5647915
00056,2,1,75,1,1000000
00057,1,0,31,2,2233217
00057,1,0,43,2,5587745
00057,1,0,44,1,3523859
00057,1,0,47,2,5700000
00058,1,0,34,2,3332130
00058,1,0,42,2,16534280
00058,1,0,44,1,3887105
00058,2,0,49,2,7615000
00059,1,0,38,1,4449845
00059,1,0,38,1,5695230
00059,1,0,41,2,8653663
00059,1,0,47,1,2467156
00060,1,0,41,1,17852788
00060,1,0,42,1,6990582
00060,2,0,56,1,4608133
00060,2,0,63,1,933333
00061,1,0,34,2,4969304
00061,1,0,48,1,11350729
00061,2,1,78,1,1319783
00061,2,1,79,1,2036450
00062,1,0,27,2,2500000
00062,1,0,30,1,11484783
00062,1,0,35,2,2800000
00062,1,0,44,2,8200000
00063,1,0,35,2,2800000
00063,1,0,43,1,9888616
00063,1,0,52,2,4629194
00063,2,0,60,1,12527890
00064,1,0,47,2,5450000
00064,1,0,52,2,4612527
00064,1,0,60,1,7664667
00064,2,0,61,1,5000000
00065,1,0,40,1,3211299
00065,1,0,41,2,18189805
00065,1,0,44,1,5720213
00065,2,0,61,1,5000000
00066,1,0,34,2,3332130
00066,1,0,44,1,5586880
00066,2,0,51,1,0
00066,2,0,63,1,800000
00067,1,0,34,2,3332130
00067,1,0,43,1,11094870
00067,1,0,45,1,5000000
00067,1,0,48,1,14999911
00068,1,0,43,1,9355323
00068,1,0,61,2,2846762
00068,2,0,38,1,7224600
00068,2,1,82,1,1161830
00069,1,0,29,1,6091420
00069,1,0,43,2,7996367
00069,1,0,60,1,6960000
00069,2,0,38,1,5508914
00070,1,0,29,1,5432287
00070,1,0,40,1,5490544
00070,1,0,43,1,9231295
00070,2,1,84,2,1454760
00071,1,0,60,1,7435000
00071,2,0,50,2,7407950
00071,2,0,51,1,0
00071,2,0,79,1,2323033
00072,1,0,43,2,8886093
00072,1,0,44,1,4650000
00072,1,0,55,1,6889163
00072,1,0,65,1,3318360
00073,2,0,56,1,2983706
00073,2,0,64,1,7236110
00073,2,0,65,1,8615810
00073,2,1,84,2,754760
00074,1,0,30,2,5705708
00074,2,0,45,1,3000000
00074,2,0,50,2,7459883
00074,2,1,79,2,180000
00075,1,0,40,2,2200207
00075,1,0,65,1,3427533
00075,2,0,58,1,7250000
00075,2,0,64,2,3770500
00076,1,0,32,1,6761320
00076,1,0,40,2,2979587
00076,2,0,64,2,3665000
00076,2,0,65,1,8643287
00077,1,0,40,2,4000000
00077,2,0,43,2,6090000
00077,2,0,44,2,7510000
00077,2,0,45,1,8166667
00078,1,0,44,2,7538650
00078,2,1,71,2,3600000
00078,2,1,74,1,2992340
00078,2,1,74,1,3292339
00079,1,0,37,1,5307719
00079,1,0,37,1,9542454
00079,2,0,65,1,7443410
00079,2,1,84,2,754760
00080,1,0,39,1,3834408
00080,1,0,40,1,3747986
00080,1,1,71,1,4555890
00080,2,0,50,2,6693000
00081,1,0,55,1,6872500
00081,1,0,65,1,3294200
00081,2,0,51,2,2729890
00081,2,1,80,2,195000
00082,2,0,45,1,2256317
00082,2,0,59,1,12500000
00082,2,0,65,1,7655685
00082,2,0,69,1,1654760
00083,1,0,62,1,4048333
00083,1,1,66,1,1775000
00083,2,0,45,1,4500000
00083,2,1,75,1,2873400
00084,1,0,37,1,5171058
00084,1,0,45,2,3470110
00084,1,0,60,2,10775007
00084,1,1,65,2,3725910
00085,1,0,40,1,3757820
00085,1,0,44,1,2578334
00085,2,1,76,1,666667
00085,2,1,77,2,819760
00086,1,0,55,1,6912500
00086,1,0,59,2,1200000
00086,2,0,52,2,2379630
00086,2,1,70,2,700000
00087,1,0,69,1,2385265
00087,2,0,45,1,2150000
00087,2,0,58,1,3601100
00087,2,1,72,1,752130
00088,1,0,55,1,7102500
00088,2,0,64,2,1444000
00088,2,1,70,2,740000
00088,2,1,71,2,3600000
00089,2,0,42,2,2535000
00089,2,0,45,1,1860000
00089,2,0,65,1,7519890
00089,2,1,72,1,907130
00090,1,0,63,1,4923333
00090,1,1,67,1,6071715
00090,1,1,71,1,5731120
00090,2,0,64,2,1722333
00091,1,0,35,1,3962970
00091,1,0,45,2,3213865
00091,2,0,42,2,1850000
00091,2,1,80,2,317333
00092,1,0,44,1,2428839
00092,1,0,49,1,5891715
00092,1,1,67,1,5088950
00092,2,0,59,1,12500000
00093,1,0,35,1,5675902
00093,1,0,59,1,3860000
00093,2,0,52,2,2141053
00093,2,0,68,1,6989540
00094,1,0,25,2,2540000
00094,1,0,50,1,5915750
00094,1,0,73,1,4000000
00094,1,1,70,1,2323433
