뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01400401.19901230171712108,19901230,중부매일,,"韓國, 체력 기술 열세",스포츠>월드컵, 스포츠>축구>해외축구, 스포츠>올림픽_아시안게임,,,,李鐘壹,"베오그라드,영국전,유고,韓國,1피리어드,이탈리아,91C풀세계주니어 아이스하키선수권대회","이탈리아,한국","韓國,체력,열세,이탈리아,완패,91C풀,세계주니어,아이스하키선수권대회,출전중,한국,강호,이탈리아,패배,1승,기록,선수단,한국,28일,유고,베오그라드,이탈리아,2차,1분,종료,李鐘壹,徐祥源,어시스트,성공,기선,중반,체력,기술서,상대,5골,1대,이탈리아,이날,승리,첫날,영국전,2연승,선두","이탈리아,한국,세계주니어,2연승,영국전,아이스하키선수권대회,아이스하키,선수권,첫날,徐祥源,출전중,5골,1승,李鐘壹,기술서,선수단,1대,베오그라드,2차,91c풀,韓國,체력,종료,세계,주니어,대회,어시스트,성공,기선,상대,승리,기록,완패,유고,출전,이날,패배,열세,강호,선두,중반","91C풀세계주니어 아이스하키선수권대회에 출전중인한국은 강호 이탈리아에 패배, 1승1패를 기록했다.
선수단이 알려온 바에 따르면 한국은 28일 오후 유고 베오그라드에서 열린 이탈리아와의 2차전에서 1피리어드 종료 1분여를 남기고 李鐘壹이 徐祥源의 어시스트를 성공시키며 첫 골을 터뜨려 기선을 잡았으나 중반이후 체력과 기술서 밀려 상대에 무려 5골을 내리 빼..",,
01400401.19901230171712107,19901230,중부매일,중부매일,연봉협상 몸살,스포츠>농구_배구, 스포츠>야구, 스포츠>축구,,,,"金鑄,鄭龍,강경자,金鐘,崔震瀚,朴景,金相鎬,趙兢,李泰昊,範根,尹相哲,丁海",일본,,"연봉,협상,몸살,프로축구팀들,구단,프로,축구,연봉,몸살,연봉협상,시즌,프로,축구,연봉,협상,럭금,제외,구단,예상,전적,협상,예상,일본,스카우트,제의,선수들,협상,강경자세,시작,의외,어려움,구단,6년,선수,연초,구단,의결,6년,선수들,재계약조항,주장,재계약,연봉,협상,자세,구단들,구단,현대,연봉협상,마무리,구단,나머지,씨름,현대,감독,신임,車範根,요청,6년,金鐘建,제외,선수,연봉협상,마무리,우승,럭금,간판,崔淳鎬,주전,선수,협상,난항,崔淳鎬,4차례,협상,타결,휴가,예정,보류,선수,공시,상황,우수,선수,崔震瀚,尹相哲,曺敏國,협상,진전,포철,6년,李興實,趙兢衍,金相鎬,포함,朴景勳,대표,선수,눈치싸움,대우,李泰昊,丁海遠,金鑄城,鄭龍煥,대표급들,구단,소폭,인상,동결조치,반발,협상,거절","선수들,연봉협상,럭금,崔淳鎬,崔震瀚,현대,金鑄城,鄭龍煥,朴景勳,車範根,대우,동결조치,李泰昊,趙兢衍,丁海遠,金相鎬,일본,재계약,尹相哲,李興實,눈치싸움,재계약조항,대표급들,강경자세,曺敏國","프로축구 6개 구단이 전에 없는 연봉 몸살을 앓고 있다.
올 시즌 프로축구 연봉협상은 럭금을 제외한 5개 구단이 당초 예상보다 못한 전적을 올려 비교적 쉽게 협상이 끝날 것으로 예상됐으나 일본으로부터의 스카우트 제의가 들어오면서 대부분의 선수들이 협상에 강경자세를 보이기 시작, 의외의 어려움을 겪고 있다.
또한 6개 구단의 6년차 선수 5명은 연초 각 ..",,
01400401.19901230171712106,19901230,중부매일,,[90농구대잔치] 起亞 3연패 보인다,스포츠>축구, 스포츠>농구_배구, 스포츠>월드컵,,,,,"장악,준결승전,잠실학생체육관,경기","결승리그,국민은행,여자부","起亞,외곽,許재,골밑,기범,三星,공략,기아자동차,삼성전자,결승,진출,90농구,대잔치,1차,대회,패권,눈앞,3연패,도전,기아,잠실학생체육관,대회,남자,金裕宅,14점,리바운드,韓基範,12점,리바운드,쌍돛대,골밑,장악,許載,30점,리바운드,코트,게임,활기,체력,속공,삼성전자,막판,추격,80대,신승,여자부,결승,리그,국민은행,대회,우승,李康熙,28점,朴賢淑,17점,콤비,돌파,득점,리드,수비,삼성생명,기둥,成貞兒,6점,리바운드,崔警姬,19점,공격력,약화,67대,승리,3승,최대관문,통과,단독,선두,삼성생명,이날,패배,2승,기록,자력우승,기아,이날,전반,鄭德和,3점,14대,리드,전반,44대,9점,기아,후반,쌍돛대,위력,발휘,姜正秀,17점,야투,8분,64대,17점,여유,승리,기아,吳世雄,金鎭,3점,삼성,추격,경기,종료,77대,2점,위기,許載,종료,자유투,성공,추격,삼성,30초,파울,작전,기아,공격,둔화,8초,許載,자유투,허용,77대,鐘雄,동점기회,경기,종료,총성,직전,동점,기회,3점,불발,국민은행,라이벌,삼성,전반,시소,李康熙,이날,수훈갑,4점,34대,재역전,리드,전반,42대,국민,후반,李康熙,폭발적,슈팅,4분,50대,12점,리드,여유,경기,18일,전적,남자,기아자동차,삼성전자,여자,결승,리그,국민은행,삼성생명,사진,축구경기,90농구,대잔치,기아자동차,삼성전자,준결승전,기아,한기범,삼성수비,필사적,손발,저지,고통","삼성전자,삼성,17점,삼성생명,許載,3점,국민은행,李康熙,자유투,기아자동차,골밑,77대,쌍돛대,12점,鄭德和,3연패,여자부,대잔치,90농구,잠실학생체육관,동점기회,수훈갑,준결승전,공격력,최대관문,19점,자력우승,2승,起亞,三星","기아자동차가 삼성전자를 꺾고 결승에 진출, 90농구대잔치 1차대회 패권을 눈앞에 두고 있다.
3연패에 도전하는 기아는 29일 잠실학생체육관에서 벌어진 대회 18일째 남자 준결승전에서 金裕宅(14점 리바운드 8개)-韓基範(12점 리바운드 8개) 쌍돛대가 골밑을 장악하고 許載가 30점에 리바운드 7개로 코트를 누비며 게임에 활기를 불어넣은데 힘입어 체력과 ..",,
01400401.19901230171712112,19901230,중부매일,,張충식(北京대회단장) 靑龍章 수상,스포츠>축구, 스포츠>축구>한국프로축구, 스포츠>올림픽_아시안게임,,,,"張忠,申太浩,金鐘,朴哲彦,文胎甲,柳明,劉永美","북경아시안게임,한국선수,바르셀로나,청룡,올림픽공원,한국선수단","국민체육진흥공단,金相謙,金종렬대한체육회장,尹德珠 체육회,안기부,중국과장,대한체육회,朴哲彦,체육부장관,체육유공자,체육부,체육청소년부장관,북경대회","충식,北京,대회단장,靑龍章,수상,종렬대한체육회장,체육,유공자,포상,체육부,29일,10시,올림픽공원,역도,경기장,朴哲彦,체육,청소년부,장관,이사장,金鐘烈,체육,회장,文胎甲,국민체육진흥공단,체육,인사,7백,수상자,가족들,참석,북경,포상식,주요국제,대회,체육,유공자,이날,포상식,북경대회,종합,달성,金鐘烈,체육,회장,단장,張忠植,한국,선수,체육인,최고,영예,체육,훈장,청룡장,수상,부회장,尹德珠,체육회,柳明佑,프로,복싱,세계,챔피언,맹호장,金相謙,북경대회,한국,선수단,총감독,20명,거상장,중국과장,신우균,안기부,중국,과장,녹조근정훈장,남자감독,李學來,한국,선수단,남자,감독,36명,백마장,申太浩,커누협회장,1백,기린장,수상,선수,배구,여자,대표,劉永美,2백,체육포장,李準鎬,쇼트,트랙스케이팅,선수,2백,대통령표창,수여,이날,포상식,朴哲彦,체육부,장관,치사,북경대회,성과,치하,올림픽,바르셀로나,성적,대표,선수,훈련,강화,우수,선수,양성,최선,당부","북경대회,朴哲彦,포상식,金鐘烈,한국,체육부,총감독,李學來,張忠植,청룡장,2백,7백,劉永美,올림픽공원,李準鎬,안기부,바르셀로나,신우균,柳明佑,국민체육진흥공단,체육회,尹德珠,文胎甲,金相謙,선수단,유공자","체육부는 29일 오전 10시30분 올림픽공원 역도경기장에서 朴哲彦 체육청소년부장관을 비롯, 金鐘烈 대한체육회장 文胎甲 국민체육진흥공단 이사장 등 체육계 주요인사와 7백74명의 수상자 및 가족들이 참석한 가운데 북경아시안게임 등 주요국제대회 체육유공자 포상식을 가졌다.
이날 포상식에서 북경대회 종합2위를 달성한 金鐘烈 대한체육회장과 張忠植 한국선수 단장이..",,
01400401.19901230171713102,19901230,중부매일,,레슬링 국가대표 선수단,스포츠>축구>한국프로축구, 스포츠>축구, 스포츠>올림픽_아시안게임,,,,金起台,"바르셀로나올림픽,태릉선수촌","74kg,52kg,62kg,서울체고,安漢奉(한체대,57kg,炅宣(주택공사,68kg,金榮九(부산시청,金鎭完(주택공사,文忠植(단국대,대한레슬링협회,鄭珍奕(동아대,한체대,金永一(한체대,48kg,주택공사","선수단,레슬링,국가,대표,장순등,구성,대한레슬링협회,바르셀로나,올림픽,대비,훈련,결정,44명,대표선수단,코치4,선수40,구성,내년,태릉선수촌,입촌,강화훈련,선수단,코치,全海燮,李正根,자유형,安漢泳,金明基,그레코로만형,48kg급,金鐘信,삼성생명,金正燮,한체대,沈權虎,서울체고,자유,權德龍,성신양회,成雨慶,전북체고,鄭桓起,원광대,52kg급,金善鶴,서울체고,鄭珍奕,동아대,자유,金榮九,부산시청,金起台,상무,安漢奉,한체대,57kg급,金萬基,金鐘五,한체대,자유,金鎭完,주택공사,玉倫昊,동아대,62kg급,魯炅宣,주택공사,金淵萬,삼성생명,자유,許丙虎,삼성생명,柳相玉,전주제지,68kg급,高永昊,주택공사,張士容,삼성생명,자유,金成文,성신양회,金永一,한체대,文忠植,단국대,74kg급,朴章洵,한체대,崔原榮,상무,자유,韓致虎,경남대,金蓮洙,조선대","kg,한체대,삼성생명,주택공사,선수단,성신양회,동아대,서울체고,자유형,金蓮洙,바르셀로나,선수촌,태릉,鄭桓起,그레코로만형,경남대,전북체고,강화훈련,태릉선수촌,원광대,金明基,부산시청,전주제지,成雨慶,단국대,대한레슬링협회,장순,장순등,선수40,全海燮,金起台,李正根,52kg급,48kg급,柳相玉,68kg급,74kg급,韓致虎,대표선수단,安漢泳,文忠植,金榮九,金萬基,金鐘五,코치4","대한레슬링협회는 92년도 바르셀로나올림픽에 대비해 2배수 훈련을 실시키로 결정, 44명의 대표선수단(코치4 선수40)을 구성해 내년 1월9일부터 태릉선수촌에 입촌, 강화훈련에 들어가기로 했다.
◆선수단
△코치=全海燮 李正根(자유형) 安漢泳 金明基(그레코로만형)
△48kg급=金鐘信(삼성생명) 金正燮(한체대) 沈權虎(서울체고 이상 자유형) 權德龍(성신양회)..",,
01400401.19901230171712110,19901230,중부매일,,남녀 「탁구 最强者」 가린다,스포츠>월드컵, 스포츠>올림픽_아시안게임, 스포츠>농구_배구,,,,"劉南奎,文奎玟,玄正植,朴昌益,朴知賢,朴相俊,吳炳萬,秋敎成,南基,林鐘萬,趙賢佑,趙誠一","기흥,玄靜和(한국화장,安宰亨,종합선수권대회,일본,경기,내년 세계선수권대회,출전선수","이사,대한탁구협회,A,B조,근화여중,양정여고,신진공고,李鎬馥(경원대,한일,郭採淑(선화여상) 孫知延,출전선수,朴海晶(이일여고) 姜藝貞(한일은행,광주,근화여고","最强者,남녀,탁구,代表,발전,확정,참가,선수,대한탁구협회,이사회,3일,기흥전용체육관,국가,대표,발전,출전,남녀,24명,선수,확정,출전선수,선발전,출전,선수,1차선,발전,종합선수권대회,우승,남녀,단식,차지,金澤洙,대우증권,玄靜和,한국화장품,성적순,16명,선발,나머지,8명,탈락선수,유망주,탈락,선수,중심,이사회,추천,2차선,발전,남녀선수들,B조,리그전,성적순,수명씩,각조,상위,수명,선발,추천,선수,추가,남녀,12명,최종,선발전,출전,자격,부여,18일,이틀간,문화,체육관,개최,최종선발전,남녀,풀리그,경기,진행,성적,남자,여자,선발,2명,이사회,추천,내년,세계,선수권,대회,4월,일본,지바,출전,대표선수,확정,2차,대회,출전,선수,명단,남자,金澤洙,대우증권,朴知賢,제일합섬,劉南奎,동아생명,文奎玟,상무,朴昌益,제일합섬,安宰亨,동아생명,李哲承,성의종고,姜熙燦,대우증권,李尙俊,신진공고,吳炳萬,제일합섬,李鎬馥,경원대,林鐘萬,동아생명,朴相俊,숭일고,玄正植,대우증권,崔敬原,심인고,崔英一,제일합섬,성적순,秋敎成,동아생명,金錫晩,대우증권,南基五,趙賢佑,상무,趙誠一,국정교과서,柳永五,제일합섬,申守鉉,신진공고,金炯佑,경원대,추천,여자,玄靜和,洪次玉,한국화장품,李正任,대우증권,洪順化,제일모직,朴海晶,이일여고,姜藝貞,한일은행,朱英姬,광주은행,朴瓊愛,대한항공,申載仁,대우증권,姜炫朱,陸善姬,한국화장품,金戊敎,근화여중,金昭姸,신탁,丁志英,대우증권,崔壽淨,광주,李美玉,제일모직,성적순,李泰照,權美淑,제일모직,鄭英兒,한일,金延淑,대한항공,郭採淑,선화여상,孫知延,양정여고,金分植,근화여고,柳惠晶,한국화장품,추천","대우증권,제일합섬,동아생명,성적순,한국화장품,제일모직,이사회,2차선,대한항공,최종선발전,신진공고,경원대,선발전,玄靜和,2차,출전선수,이틀간,탈락선수,기흥전용체육관,유망주,선수권,金澤洙,代表,한일은행,양정여고,朱英姬,孫知延,姜藝貞,金分植,광주은행,선화여상,국정교과서,金昭姸","대한탁구협회는 지난 28일 이사회를 열고 오는 1월 9일부터 3일 동안 기흥전용체육관에서 벌어질 국가대표 2차선발전에 출전하는 남녀 각 24명의 선수를 확정했다.
2차 선발전 출전선수는 1차선발전을 겸한 종합선수권대회서 남녀 단식 우승을 차지한 金澤洙(대우증권)와 玄靜和(한국화장품)를 비롯, 성적순에 따라 각각 16명을 선발하고 나머지 각 8명은 탈락선..",,
01400401.19901230171714107,19901230,중부매일,"朴相俊
朴相俊 기자",國校生이 바둑전국제패,지역>충북, 스포츠>스포츠일반, 지역>대전,,,,"김동하,우암,노영하,김민희,김군","충북,충북기원,대전,충북기원원장,한밭기원,서울,충북지역,충암중","전국대회,한국기원,한벌국,우암배,KBS배","國校生,바둑전국제패,김강근군,한벌국,김강근,5년,전국어린이바둑대회,우암배,전국어린이,바둑,대회,정상,충북기계,샛별,우암배,바둑,발굴,후원회장,한국기원,지원,후원,회장,장성,출신,김동하,자신,우암,대회,대회,출전,김강근군,결승,김민희군,서울구전국5년,행마,불계승,우승,노영하,제외,프로기사,전무,시피,충북기계,주목,9살,바둑,김군,충북기원,출입,잠재력,조금씩,시작,방학,대전,한밭기원,서울,강동기원,바둑,수업,해레배,KBS배,각종,전국,대회,출전,프로,이홍력,사범,집중적,개인지도,충북기원원장,임동균씨,5단,사사,기력,일취월장,성장,임원장,김군,기풍,실리,전투,발전,속도,충북,프로,입문,촉망,바둑꿈나무,칭찬,김기훈씨,서강교회,목사,이경준씨,1남,녀중,장남,바둑,이외,취미,정도,하루,시간,바둑수업,정진,바둑,매력,인내력,두뇌개발,어른,국수타이틀,이창호,프로기사,대성,프로기사,배출,충암중,입학,朴相俊","충북,우암배,한국기원,충북기계,프로기사,김군,김강근군,5단,노영하,근군,한벌국,9살,장성,이경준씨,서울구전국,서강교회,朴相俊,개인지도,이경준,김민희,조금씩,김기훈,잠재력,일취월장,김동하,1남,두뇌개발,불계승,김민희군,해레배,충암중,국수타이틀,김기훈씨,한밭기원,바둑꿈나무,임동균씨,녀중,인내력,서울,임동균,후원회장,김강근","한벌국 김강근군(5년)이 제4회 우암배 전국어린이바둑대회에서 정상에 올라 충북기계의 샛별로 떠올랐다.
우암배는 국내 바둑꿈나무의 발굴을 위해 한국기원 강동지원 후원회장을 맡고 있는 장성출신 김동하씨가 자신의 호인 우암을 따서 만든 대회로 이 대회에 첫 출전한 김강근군이 결승에서 맞붙은 김민희군(서울구전국5년)을 시종 날카로운 행마로 몰아 부친 끝에 불계..",,
01500701.19901229201618106,19901229,부산일보,부산일보,[프로야구 소식]김영덕 6천만원 재계약,스포츠>야구>한국프로야구, 스포츠>야구, 스포츠>농구_배구,,,,"박동희,양수 나웅,양용모,김선진,김기범",포수,"동아대,OB","김영덕,재계약,거인,주전급,협상,결렬,프로,야구,빙그레,김영덕,金永德,감독,50%,연봉,93년,3년,재게약,체결,이날,지명선수,양용모,梁龍模,포수,동아대,선수,계약금,연봉,입단계약,롯데,연봉협상,프로,야구,롯데,26일,28일,연봉재,계약,협상,박동희,朴東熙,김민호,金旻浩,한영준,韓英俊,주전,선수,현격,견해차,재계약,롯데,대상장,47명,70%,33명,재계약,체결,김광수,합의,프로,야구,OB,김광수,金光洙,9.5%,4천만,재계약,내년도,연봉,LG,나웅등,협상완료,프로,야구,LG,28일,내양수,나웅,羅雄,김선진,金善辰,투수,김기범,金起範,시즌,연봉,재계약,선수,연봉,괄호안,90시즌,나웅,2천만,1천,김선진,1천,김기범,1천","재계약,롯데,나웅,김광수,김영덕,주전급,김기범,1천,빙그레,김선진,계약금,대상장,4천만,2천만,내년도,lg,金旻浩,김민호,한영준,朴東熙,梁龍模,지명선수,韓英俊,金善辰,재게약,연봉재,양용모,동아대,金起範,박동희","○  프로야구 빙그레는 28일 김영덕(金永德)감독과 지난해보다 50%오른 연봉 6천만원에 오는 93년까지 3년간 재게약을 체결했다.
한편 이날 1차지명선수인 양용모(梁龍模 포수 동아대) 선수와 계약금 2천6백만원 연봉 1천2백만원에 입단계약을 맺었다.
롯데 33명과 연봉협상
○  프로야구 롯데는 지난26일부터 28일까지 연봉재계약 2차협상을 벌였으나..",,
01500701.19901229201617125,19901229,부산일보,"lt;金泰洪 기자&gt;
金泰洪",90스포츠 진기록 박동희 데뷔 「6연속 탈삼진」,스포츠>축구, 스포츠>야구, 스포츠>농구_배구,,,,"최다연,엥겔씨,김원탁,이강돈,유명우,가메스,이강선","아시아,독일,경기,한국프로복,미,한국선수,북경,한국,한,이탈리아","미국,이대회,일본,여주여종고,국민은행,세이부,금천고,북경대회,베네수엘라,월드시리즈,대표 최종선발전 오픈라운드종합,신시내리,프로씨름,축구대회,WBA,외환은행,조오련","스포츠,진기록,박동희,데뷔,탈삼진,월드,저팬,한국시리즈,4연승,동일기록,압권,90년,스포츠계,화제,팬들,축구대회,이탈리아,월드컵,축구,대회,북경,아시안,게임,해외경기,열기,고조사키,프로야구,종목,기록,진풍경,프로야구,기록,압권,미국,월드시리즈,일본,저팬시리즈서,신시내리,세이부,4연승,우승,한국,LG,4전,무패,경기,마감,3개국,결과,LG,삼성,대결,팽팽,예상,결과,속단,만큼,전력,막상막하,전문가들,LG-삼성,1차,LG,투수,김용수,7이,무실점,기록,최다,점수,완봉승,21개,최다안타,38명,최다출장,신기록,진풍경,프로야구,진기록,양산,계약금,입단,조건,롯데,박동희,朴東熙,4월,데뷔전,대삼성전,154km,강속구,탈삼진신,기록,빙그레,이강돈,李康敦,146개,안타,무인지경,안타,시즌,최다,기록,선수,해태,이강철,李强喆,빙그레,한희민,韓禧敏,경쟁적,홈런,허용,24개,22개,홈런,진기록,프로축구,럭키금성,게임,연속,득점,게임,연승,경이적,기록,우승,대우,국내최초,외국인,감독,엥겔,독일,영입,팬들,관심,한국프로복싱계,간판,유명우,柳明佑,베네수엘라,강타자,가메스,판정,WBA,주니어,플라이급,성공,체급,최다,방어,최다연승,35연승,기록,프로씨름,강호동,姜鎬童,1년,천하장사,위업,씨름,황제,이만기,李萬基,2년,천하장사,기록,현대전자농구팀,이충희,李忠熙,90농구,대잔치,통산,기록,이대회,여자부경기,국민은행,외환은행,57로,승리,1게임,최다득점,신기록,수립,북경,아시안,게임,김원탁,金元卓,마라톤,2시간,분56초,우승,아시안게임,8년,금메달,쾌거,천인식,千仁植,불구,극복,3관왕,위업,달성,수영,지상준,池相俊,금천고,북경대회,남자,배영,200m,우승,한국선수,조오련,16년,아시아,정상,정복,양궁,이은경,李銀敬,여주여종고,대표,최종선,발전,오픈라운드,종합,1천,83점,만점,1천,40점,57점,대기록,수립,50,대회서,60,만점,평균,기적,기록,여자체조,박지숙,朴智淑,전북체고,체조대회,넬리김,체조,대회,국내사상,만점시대,골프,이강선,李康宣,사상최초,상금,돌파,대상금선수,金泰洪","진기록,천하장사,김용수,팬들,이만기,1천,lg,4연승,빙그레,박동희,완봉승,탈삼진,신기록,북경,한국,삼성,베네수엘라,대회서,만큼,북경대회,체조대회,이탈리아,200m,프로야구,아시안,아시안게임,진풍경,전문가,1차,전문가들,가메스,플라이급","90년의 스포츠계는 어느해보다도 많은 화제를 낳아 팬들을 즐겁게 했다.
이탈리아 월드컵 축구대회와 북경 아시안게임 등 굵직한 해외경기가 열기를 고조사키는 가운데 국내의 프로야구 등 각 종목에서 기록과 진풍경이 쏟아져 나왔기 때문이다.
이중에서 한 미 일 프로야구가 똑같이 세운 기록이 압권이라고 할 수 있다.
미국의 월드시리즈와 일본의 저팬시리즈서 신시내..",,
